Symbol,Screener
SONACOMS,https://scanx.trade/company/sona-blw-precision-forgings-ltd
SRF,https://scanx.trade/company/srf-ltd
SUNPHARMA,https://scanx.trade/company/sun-pharmaceutical-ltd
SUPREMEIND,https://scanx.trade/company/supreme-industries-ltd
SUZLON,https://scanx.trade/company/suzlon-ltd
SWIGGY,https://scanx.trade/company/swiggy-ltd
TATACONSUM,https://scanx.trade/company/tata-consumer-products-ltd
TATAELXSI,https://scanx.trade/company/tata-elxsi-ltd
TATAPOWER,https://scanx.trade/company/tata-power-ltd
TATASTEEL,https://scanx.trade/company/tata-steel-ltd
TCS,https://scanx.trade/company/tcs-tata-consultancy-services-ltd
TECHM,https://scanx.trade/company/tech-mahindra-ltd
TIINDIA,https://scanx.trade/company/tube-invest-of-india-ltd
TITAN,https://scanx.trade/company/titan-ltd
TMPV,https://scanx.trade/company/tata-motors-passenger-vehicles-ltd
TORNTPHARM,https://scanx.trade/company/torrent-pharmaceuticals-ltd
TRENT,https://scanx.trade/company/trent-ltd
TVSMOTOR,https://scanx.trade/company/tvs-motors-ltd
ULTRACEMCO,https://scanx.trade/company/ultratech-cement-ltd
UNIONBANK,https://scanx.trade/company/union-bank-of-india-ltd
UNITDSPR,https://scanx.trade/company/united-spirits-ltd
UNOMINDA,https://scanx.trade/company/minda-industries-ltd
UPL,https://scanx.trade/company/upl-united-phosphorus-ltd
VBL,https://scanx.trade/company/varun-beverages-ltd
VEDL,https://scanx.trade/company/vedanta-ltd
VMM,https://scanx.trade/company/vishal-mega-mart-ltd
VOLTAS,https://scanx.trade/company/voltas-ltd
WAAREEENER,https://scanx.trade/company/waaree-energies-ltd
WIPRO,https://scanx.trade/company/wipro-ltd
YESBANK,https://scanx.trade/company/yes-bank-ltd
ZYDUSLIFE,https://scanx.trade/company/cadila-healthcare-ltd
